joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Saad El Haddad,MAR,MT,Venezia,19.0,2005,3.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Antoine Hainaut,FRA,"DF,MT",Parma,23.0,2002,19.0,7.0,820.0,9.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.4,1.0,20.0,28.0,27.0,0.11,0.0,0.11,0.11,0.11,0.06,0.05,0.11,0.06,0.11
Mohamed Haj,TUN,MT,Parma,20.0,2005,15.0,3.0,453.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.2,1.8,6.0,13.0,28.0,0.2,0.4,0.6,0.2,0.6,0.13,0.24,0.36,0.13,0.36
Ridgeciano Haps,SUR,DF,Venezia,31.0,1993,17.0,11.0,1041.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.4,1.5,18.0,42.0,34.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.13,0.09,0.13
Abdou Harroui,NED,"MT,AT",Hellas Verona,27.0,1998,10.0,5.0,463.0,5.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,0.4,2.6,23.0,21.0,34.0,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51
Liam Henderson,SCO,MT,Empoli,28.0,1996,29.0,21.0,1858.0,20.6,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.4,0.4,2.9,3.3,13.0,79.0,41.0,0.0,0.1,0.1,0.0,0.1,0.02,0.14,0.16,0.02,0.16
Mario Hermoso,ESP,DF,Roma,29.0,1995,8.0,2.0,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0.1,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Theo Hernández,FRA,DF,Milan,27.0,1997,27.0,24.0,2164.0,24.0,3.0,3.0,6.0,3.0,0.0,1.0,3.0,1.0,2.1,1.3,4.2,5.6,73.0,112.0,122.0,0.12,0.12,0.25,0.12,0.25,0.09,0.18,0.26,0.06,0.23
Hernani,BRA,MT,Parma,31.0,1994,18.0,12.0,1026.0,11.4,3.0,2.0,5.0,0.0,3.0,3.0,5.0,0.0,2.7,0.4,1.0,1.4,26.0,67.0,28.0,0.26,0.18,0.44,0.0,0.18,0.24,0.09,0.33,0.03,0.12
Isak Hien,SWE,DF,Atalanta,26.0,1999,24.0,21.0,1787.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8,0.8,0.1,0.8,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Emil Holm,SWE,DF,Bologna,24.0,2000,16.0,9.0,881.0,9.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.8,21.0,44.0,34.0,0.1,0.1,0.2,0.1,0.2,0.05,0.04,0.09,0.05,0.09
Mats Hummels,GER,DF,Roma,36.0,1988,12.0,10.0,869.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.5,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
Elseid Hysaj,ALB,DF,Lazio,31.0,1994,6.0,2.0,204.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,3.0,6.0,5.0,0.0,0.88,0.88,0.0,0.88,0.0,0.4,0.4,0.0,0.4
Arijon Ibrahimović,GER,MT,Lazio,19.0,2005,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.85,0.85
Jay Idzes,IDN,DF,Venezia,24.0,2000,28.0,28.0,2497.0,27.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.3,1.3,14.0,68.0,13.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05
Jonathan Ikone,FRA,"AT,MT",Como,26.0,1998,6.0,0.0,134.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,7.0,3.0,12.0,0.67,0.0,0.67,0.67,0.67,0.32,0.02,0.34,0.32,0.34
Jonathan Ikone,FRA,"AT,MT",Fiorentina,26.0,1998,14.0,1.0,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,12.0,13.0,39.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.23,0.21,0.23
Ivan Ilić,SRB,MT,Torino,24.0,2001,12.0,8.0,716.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.6,1.6,23.0,33.0,35.0,0.13,0.0,0.13,0.13,0.13,0.12,0.08,0.2,0.12,0.2
Samuel Iling-Junior,ENG,"AT,MT",Bologna,21.0,2003,7.0,0.0,118.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,5.0,7.0,27.0,0.76,0.0,0.76,0.76,0.76,0.11,0.09,0.19,0.11,0.19
Alessio Iovine,ITA,"DF,AT",Como,34.0,1991,9.0,3.0,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,9.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Gustav Isaksen,DEN,AT,Lazio,23.0,2001,29.0,23.0,1740.0,19.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,1.4,4.4,74.0,31.0,196.0,0.16,0.1,0.26,0.16,0.26,0.16,0.07,0.23,0.16,0.23
Ardian Ismajli,ALB,DF,Empoli,28.0,1996,24.0,24.0,2058.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Armando Izzo,ITA,DF,Monza,33.0,1992,27.0,26.0,2285.0,25.4,1.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,0.4,0.4,0.8,1.2,11.0,71.0,11.0,0.04,0.04,0.08,0.04,0.08,0.02,0.03,0.05,0.02,0.05
