rang,joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
493.0,Jurriën Timber,NED,DF,Arsenal,23.0,2001,26.0,25.0,2199.0,24.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.8,1.5,51.0,134.0,97.0,0.04,0.08,0.12,0.04,0.12,0.03,0.03,0.06,0.03,0.06
494.0,Jean-Clair Todibo,FRA,DF,West Ham,25.0,1999,19.0,12.0,1145.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,6.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
495.0,Harry Toffolo,ENG,DF,Nott'ham Forest,29.0,1995,3.0,0.0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
496.0,Takehiro Tomiyasu,JPN,DF,Arsenal,26.0,1998,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37
497.0,Sandro Tonali,ITA,MT,Newcastle Utd,24.0,2000,26.0,18.0,1730.0,19.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.1,3.1,0.6,3.7,28.0,79.0,35.0,0.05,0.05,0.1,0.05,0.1,0.16,0.03,0.19,0.16,0.19
498.0,Pau Torres,ESP,DF,Aston Villa,28.0,1997,18.0,18.0,1549.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,31.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
499.0,Conor Townsend,ENG,DF,Ipswich Town,32.0,1993,3.0,1.0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
500.0,Adama Traoré,ESP,"AT,MT",Fulham,29.0,1996,27.0,15.0,1407.0,15.6,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,3.7,3.7,4.1,7.8,79.0,54.0,134.0,0.13,0.32,0.45,0.13,0.45,0.24,0.26,0.5,0.24,0.5
501.0,Mark Travers,IRL,GB,Bournemouth,25.0,1999,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502.0,Ryan Trevitt,ENG,MT,Brentford,22.0,2003,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503.0,Kieran Trippier,ENG,DF,Newcastle Utd,34.0,1990,17.0,7.0,698.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,15.0,48.0,29.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.01,0.07
504.0,Leandro Trossard,BEL,AT,Arsenal,30.0,1994,29.0,21.0,1897.0,21.1,4.0,5.0,9.0,4.0,0.0,0.0,4.0,1.0,5.1,5.1,5.0,10.1,64.0,81.0,172.0,0.19,0.24,0.43,0.19,0.43,0.24,0.24,0.48,0.24,0.48
505.0,Kostas Tsimikas,GRE,DF,Liverpool,28.0,1996,14.0,5.0,517.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,13.0,53.0,25.0,0.0,0.17,0.17,0.0,0.17,0.02,0.18,0.2,0.02,0.2
506.0,Axel Tuanzebe,COD,DF,Ipswich Town,27.0,1997,14.0,13.0,1095.0,12.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.3,0.5,7.0,39.0,7.0,0.0,0.08,0.08,0.0,0.08,0.02,0.02,0.04,0.02,0.04
507.0,Destiny Udogie,ITA,DF,Tottenham,22.0,2002,22.0,21.0,1654.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.3,1.6,47.0,110.0,86.0,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09
508.0,Manuel Ugarte Ribeiro,URU,MT,Manchester Utd,23.0,2001,21.0,16.0,1327.0,14.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.5,0.5,0.6,1.1,9.0,43.0,14.0,0.07,0.0,0.07,0.07,0.07,0.03,0.04,0.07,0.03,0.07
509.0,Lesley Ugochukwu,FRA,MT,Southampton,21.0,2004,18.0,10.0,1025.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.8,1.1,21.0,42.0,16.0,0.0,0.09,0.09,0.0,0.09,0.03,0.07,0.1,0.03,0.1
510.0,Enes Ünal,TUR,"AT,MT",Bournemouth,27.0,1997,17.0,2.0,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,0.4,3.1,4.0,12.0,22.0,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82
511.0,Virgil van Dijk,NED,DF,Liverpool,33.0,1991,29.0,29.0,2610.0,29.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.5,2.0,15.0,131.0,5.0,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07
