joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Frederik Rønnow,DEN,GB,Union Berlin,32.0,1992,22.0,22.0,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elias Saad,TUN,"AT,MT",St. Pauli,25.0,1999,14.0,8.0,751.0,8.3,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.8,1.8,0.7,2.6,24.0,23.0,61.0,0.36,0.24,0.6,0.36,0.6,0.22,0.08,0.31,0.22,0.31
Marcel Sabitzer,AUT,"MT,AT",Dortmund,31.0,1994,23.0,17.0,1472.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6,1.6,1.1,2.7,20.0,90.0,64.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.16,0.1,0.16
Faik Sakar,GER,MT,RB Leipzig,17.0,2008,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manolis Saliakas,GRE,"MT,DF",St. Pauli,28.0,1996,23.0,19.0,1711.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.2,3.3,25.0,74.0,67.0,0.05,0.05,0.11,0.05,0.11,0.06,0.12,0.18,0.06,0.18
Roland Sallai,HUN,"AT,MT",Freiburg,27.0,1997,2.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16,0.41,0.25,0.41
Diadie Samassékou,MLI,MT,Hoffenheim,29.0,1996,8.0,6.0,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Philipp Sander,GER,MT,Gladbach,27.0,1998,24.0,14.0,1250.0,13.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.6,1.6,12.0,53.0,25.0,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.12,0.07,0.12
James Sands,USA,"MT,DF",St. Pauli,24.0,2000,7.0,5.0,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Leroy Sané,GER,AT,Bayern Munich,29.0,1996,23.0,13.0,1226.0,13.6,9.0,4.0,13.0,9.0,0.0,0.0,2.0,0.0,7.9,7.9,4.2,12.0,49.0,42.0,195.0,0.66,0.29,0.95,0.66,0.95,0.58,0.31,0.88,0.58,0.88
