joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Ayanda Sishuba,BEL,AT,Rennes,20.0,2005,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Sissoko,MLI,AT,Saint-Étienne,29.0,1995,17.0,8.0,809.0,9.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,4.3,3.5,0.6,4.1,13.0,11.0,34.0,0.33,0.11,0.44,0.22,0.33,0.48,0.06,0.54,0.39,0.46
Niama Sissoko,MLI,"AT,MT",Reims,19.0,2005,4.0,0.0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,0.54,0.54
Leo Skiri Østigård,NOR,DF,Rennes,25.0,1999,16.0,14.0,1227.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.2,0.9,3.0,50.0,1.0,0.07,0.0,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07
Milan Škriniar,SVK,DF,Paris S-G,30.0,1995,5.0,4.0,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
Naatan Skyttä,FIN,AT,Toulouse,22.0,2002,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduard Sobol,UKR,DF,Strasbourg,29.0,1995,9.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Sotoca,FRA,"AT,MT",Lens,34.0,1990,25.0,19.0,1567.0,17.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.6,3.6,1.4,5.0,39.0,90.0,144.0,0.06,0.06,0.11,0.06,0.11,0.21,0.08,0.29,0.21,0.29
Issa Soumaré,SEN,"MT,AT",Le Havre,24.0,2000,22.0,15.0,1347.0,15.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.6,2.6,2.3,4.8,37.0,31.0,104.0,0.2,0.2,0.4,0.2,0.4,0.17,0.15,0.32,0.17,0.32
Saidou Sow,GUI,DF,Strasbourg,22.0,2002,12.0,11.0,1018.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,0.0,16.0,2.0,0.0,0.09,0.09,0.0,0.09,0.03,0.01,0.04,0.03,0.04
Saidou Sow,GUI,DF,Nantes,22.0,2002,8.0,8.0,720.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,2.0,14.0,0.0,0.12,0.0,0.12,0.12,0.12,0.09,0.05,0.14,0.09,0.14
Lucas Stassin,BEL,AT,Saint-Étienne,20.0,2004,23.0,18.0,1450.0,16.1,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,6.2,6.2,2.8,9.0,19.0,26.0,122.0,0.43,0.25,0.68,0.43,0.68,0.38,0.17,0.56,0.38,0.56
Enzo Sternal,FRA,"AT,MT",Marseille,17.0,2007,2.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
Gabriel Suazo,CHI,DF,Toulouse,27.0,1997,25.0,19.0,1785.0,19.8,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,3.2,4.0,38.0,88.0,99.0,0.0,0.25,0.25,0.0,0.25,0.04,0.16,0.2,0.04,0.2
Abakar Sylla,CIV,DF,Strasbourg,22.0,2002,17.0,9.0,831.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.0,0.4,0.0,18.0,2.0,0.11,0.0,0.11,0.11,0.11,0.05,0.0,0.05,0.05,0.05
