joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Nabil Fekir,FRA,MT,Betis,31.0,1993,2.0,2.0,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,9.0,10.0,18.0,0.0,0.5,0.5,0.0,0.5,0.34,0.26,0.61,0.34,0.61
Kiko Femenía,ESP,DF,Villarreal,34.0,1991,22.0,21.0,1749.0,19.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.1,1.4,45.0,88.0,38.0,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07
Aitor Fernández,ESP,GB,Osasuna,33.0,1991,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Fernández,ESP,GB,Sevilla,26.0,1998,8.0,7.0,657.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Pelayo Fernandez,ESP,DF,Rayo Vallecano,21.0,2003,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Férnandez,ESP,AT,Espanyol,22.0,2002,9.0,8.0,654.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,4.0,9.0,16.0,0.28,0.0,0.28,0.28,0.28,0.15,0.02,0.17,0.15,0.17
Valery Fernández,ESP,"MT,AT",Mallorca,25.0,1999,15.0,1.0,255.0,2.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.9,2.0,5.0,11.0,0.71,0.0,0.71,0.71,0.71,0.3,0.01,0.31,0.3,0.31
Mateo Flores,ESP,MT,Betis,20.0,2004,6.0,1.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Fornals,ESP,"MT,AT",Betis,29.0,1996,18.0,15.0,1255.0,13.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,2.2,3.7,22.0,110.0,68.0,0.07,0.0,0.07,0.07,0.07,0.11,0.16,0.27,0.11,0.27
Héctor Fort,ESP,DF,Barcelona,18.0,2006,12.0,3.0,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,9.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.2,0.02,0.2
Dimitri Foulquier,FRA,DF,Valencia,32.0,1993,27.0,20.0,1882.0,20.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.3,1.6,43.0,79.0,57.0,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08
Juan Foyth,ARG,DF,Villarreal,27.0,1998,11.0,9.0,812.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,0.3,1.8,11.0,49.0,9.0,0.11,0.0,0.11,0.11,0.11,0.16,0.03,0.19,0.16,0.19
Alejandro Francés,ESP,DF,Girona,22.0,2002,12.0,9.0,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,11.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Enric Franquesa,ESP,"DF,AT",Leganés,28.0,1997,12.0,7.0,616.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,11.0,12.0,30.0,0.15,0.0,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06
Jorge de Frutos,ESP,"AT,MT",Rayo Vallecano,28.0,1997,27.0,23.0,1903.0,21.1,4.0,3.0,7.0,4.0,0.0,0.0,2.0,1.0,4.6,4.6,3.1,7.7,67.0,41.0,161.0,0.19,0.14,0.33,0.19,0.33,0.22,0.15,0.36,0.22,0.36
Darío Fuentes,ESP,DF,Sevilla,22.0,2003,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Fuster,ESP,"AT,MT",Las Palmas,27.0,1997,20.0,6.0,694.0,7.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,1.1,1.7,15.0,43.0,60.0,0.26,0.0,0.26,0.26,0.26,0.07,0.14,0.22,0.07,0.22
Javi Galán,ESP,DF,Atlético Madrid,30.0,1994,17.0,14.0,1190.0,13.2,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,2.7,2.8,37.0,36.0,79.0,0.0,0.15,0.15,0.0,0.15,0.01,0.2,0.21,0.01,0.21
Iñigo Ruiz de Galarreta,ESP,MT,Athletic Club,31.0,1993,19.0,13.0,1071.0,11.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,2.1,2.5,17.0,106.0,27.0,0.0,0.17,0.17,0.0,0.17,0.03,0.18,0.21,0.03,0.21
Conor Gallagher,ENG,MT,Atlético Madrid,25.0,2000,23.0,14.0,1200.0,13.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.9,1.9,1.0,2.8,17.0,45.0,39.0,0.15,0.15,0.3,0.15,0.3,0.14,0.07,0.21,0.14,0.21
Facundo Garcés,ARG,DF,Alavés,25.0,1999,3.0,0.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro García,ESP,"AT,MT",Rayo Vallecano,32.0,1992,27.0,20.0,1831.0,20.3,3.0,5.0,8.0,3.0,0.0,0.0,4.0,0.0,5.1,5.1,4.1,9.2,52.0,55.0,172.0,0.15,0.25,0.39,0.15,0.39,0.25,0.2,0.45,0.25,0.45
Eric García,ESP,"MT,DF",Barcelona,24.0,2001,20.0,8.0,1017.0,11.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.1,12.0,72.0,7.0,0.09,0.09,0.18,0.09,0.18,0.14,0.04,0.18,0.14,0.18
Fran Garcia,ESP,DF,Real Madrid,25.0,1999,23.0,16.0,1493.0,16.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,46.0,89.0,112.0,0.0,0.12,0.12,0.0,0.12,0.04,0.05,0.09,0.04,0.09
Joan García,ESP,GB,Espanyol,23.0,2001,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
